symbol,description,base_currency,quote_currency,min_lot,max_lot,lot_step,spread,digits,point,tick_value,contract_size,margin_initial,margin_maintenance
AUDSEKm,Australian Dollar vs Swedish Krona,AUD,SEK,0.01,200.0,0.01,0,5,1e-05,0.1035340306005181,100000.0,100000.0,0.0
AUDSGDm,Australian Dollar vs Singapore Dollar,AUD,SGD,0.01,200.0,0.01,0,5,1e-05,0.7781132310373805,100000.0,100000.0,0.0
AUDUSDm,Australian Dollar vs US Dollar,AUD,USD,0.01,200.0,0.01,9,5,1e-05,1.0,100000.0,0.0,0.0
AUDZARm,Australian Dollar vs South African Rand,AUD,ZAR,0.01,200.0,0.01,0,5,1e-05,0.05635396602306681,100000.0,100000.0,0.0
AUS200m,Australia S&P ASX 200 Index,AUD,AUD,0.01,300.0,0.01,0,2,0.01,0.0065121,1.0,0.0,0.0
AVGOm,Broadcom Inc.,USD,USD,0.01,10.0,0.01,0,2,0.01,1.0,100.0,0.0,0.0
BABAm,Alibaba Group Holding Limited,USD,USD,0.01,10.0,0.01,0,2,0.01,1.0,100.0,0.0,0.0
BACm,Bank of America Corporation,USD,USD,0.01,10.0,0.01,0,2,0.01,1.0,100.0,0.0,0.0
BAm,Boeing Company (The),USD,USD,0.01,10.0,0.01,0,2,0.01,1.0,100.0,0.0,0.0
BEKEm,KE Holdings Inc,USD,USD,0.01,10.0,0.01,0,2,0.01,1.0,100.0,0.0,0.0
BIDUm,"Baidu, Inc.",USD,USD,0.01,10.0,0.01,0,2,0.01,1.0,100.0,0.0,0.0
BIIBm,Biogen Inc.,USD,USD,0.01,10.0,0.01,0,2,0.01,1.0,100.0,0.0,0.0
BILIm,Bilibili Inc,USD,USD,0.01,10.0,0.01,0,2,0.01,1.0,100.0,0.0,0.0
BMYm,Bristol-Myers Squibb Company,USD,USD,0.01,10.0,0.01,0,2,0.01,1.0,100.0,0.0,0.0
BTCAUDm,Bitcoin vs Australian Dollar,BTC,AUD,0.5,20.0,0.5,0,1,0.1,0.06512100000000001,1.0,1.0,0.0
BTCCNHm,Bitcoin vs offshore Chinese Renminbi,BTC,CNH,0.5,20.0,0.5,0,1,0.1,0.013917497077325616,1.0,1.0,0.0
BTCJPYm,Bitcoin vs Japanese Yen,BTC,JPY,0.01,20.0,0.01,0,0,1.0,0.006788221078784094,1.0,1.0,0.0
BTCTHBm,Bitcoin vs Thai Baht,BTC,THB,0.5,20.0,0.5,0,0,1.0,0.03076658011002129,1.0,1.0,0.0
BTCUSDm,Bitcoin vs US Dollar,BTC,USD,0.01,100.0,0.01,0,2,0.01,0.01,1.0,1.0,0.0
BTCXAGm,Bitcoin vs Silver,BTC,XAG,0.5,20.0,0.5,0,3,0.001,0.038316,1.0,1.0,0.0
BTCXAUm,Bitcoin vs Gold,BTC,XAU,0.01,20.0,0.01,0,5,1e-05,0.03384762,1.0,1.0,0.0
BTCZARm,Bitcoin vs South African Rand,BTC,ZAR,0.5,20.0,0.5,0,0,1.0,0.05635396602306681,1.0,1.0,0.0
CADCHFm,Canadian Dollar vs Swiss Franc,CAD,CHF,0.01,200.0,0.01,0,5,1e-05,1.238098775520311,100000.0,0.0,0.0
CADJPYm,Canadian Dollar vs Japanese Yen,CAD,JPY,0.01,200.0,0.01,0,3,0.001,0.6788221078784095,100000.0,0.0,0.0
CADMXNm,Canadian Dollar vs Mexican Peso,CAD,MXN,0.01,200.0,0.01,0,5,1e-05,0.053565048591533826,100000.0,100000.0,0.0
CADNOKm,Canadian Dollar vs Norwegian Krona,CAD,NOK,0.01,200.0,0.01,0,5,1e-05,0.09720241722971167,100000.0,100000.0,0.0
CADPLNm,Canadian Dollar vs Zloty,CAD,PLN,0.01,200.0,0.01,0,5,1e-05,0.27223848090927655,100000.0,100000.0,0.0
CHFDKKm,Swiss Franc vs Danish Krona,CHF,DKK,0.01,200.0,0.01,0,5,1e-05,0.15584820384945067,100000.0,100000.0,0.0
CHFJPYm,Swiss Franc vs Japanese Yen,CHF,JPY,0.01,200.0,0.01,0,3,0.001,0.6788221078784095,100000.0,0.0,0.0
CHFMXNm,Swiss Franc vs Mexican Peso,CHF,MXN,0.01,200.0,0.01,0,5,1e-05,0.053565048591533826,100000.0,100000.0,0.0
CHFNOKm,Swiss Franc vs Norwegian Krona,CHF,NOK,0.01,200.0,0.01,0,5,1e-05,0.09720241722971167,100000.0,100000.0,0.0
CHFPLNm,Swiss Franc vs Zloty,CHF,PLN,0.01,200.0,0.01,0,5,1e-05,0.27223848090927655,100000.0,100000.0,0.0
CHFSEKm,Swiss Franc vs Swedish Krona,CHF,SEK,0.01,200.0,0.01,0,5,1e-05,0.1035340306005181,100000.0,100000.0,0.0
CHFSGDm,Swiss Franc vs Singapore Dollar,CHF,SGD,0.01,200.0,0.01,0,5,1e-05,0.7781132310373805,100000.0,100000.0,0.0
CHFZARm,Swiss Franc vs South African Rand,CHF,ZAR,0.01,200.0,0.01,0,5,1e-05,0.05635396602306681,100000.0,100000.0,0.0
CHTRm,"Charter Communications, Inc.",USD,USD,0.01,10.0,0.01,0,2,0.01,1.0,100.0,0.0,0.0
CMCSAm,Comcast Corporation,USD,USD,0.01,10.0,0.01,0,2,0.01,1.0,100.0,0.0,0.0
CMEm,CME Group Inc.,USD,USD,0.01,10.0,0.01,0,2,0.01,1.0,100.0,0.0,0.0
COSTm,Costco Wholesale Corporation,USD,USD,0.01,10.0,0.01,0,2,0.01,1.0,100.0,0.0,0.0
CSCOm,"Cisco Systems, Inc.",USD,USD,0.01,10.0,0.01,0,2,0.01,1.0,100.0,0.0,0.0
CSXm,CSX Corporation,USD,USD,0.01,10.0,0.01,0,2,0.01,1.0,100.0,0.0,0.0
CVSm,CVS Health Corporation,USD,USD,0.01,10.0,0.01,0,2,0.01,1.0,100.0,0.0,0.0
Cm,Citigroup Inc.,USD,USD,0.01,10.0,0.01,0,2,0.01,1.0,100.0,0.0,0.0
DE30m,Germany 30 Index,EUR,EUR,0.01,300.0,0.01,0,1,0.1,0.11637800000000002,1.0,0.0,0.0
DKKJPYm,Danish Krona vs Japanese Yen,DKK,JPY,0.01,200.0,0.01,0,3,0.001,0.6788221078784095,100000.0,100000.0,0.0
DKKPLNm,Danish Krona vs Zloty,DKK,PLN,0.01,200.0,0.01,0,5,1e-05,0.27223848090927655,100000.0,100000.0,0.0
DKKSGDm,Danish Krona vs Singapore Dollar,DKK,SGD,0.01,200.0,0.01,0,5,1e-05,0.7781132310373805,100000.0,100000.0,0.0
DKKZARm,Danish Krona vs South African Rand,DKK,ZAR,0.01,200.0,0.01,0,5,1e-05,0.05635396602306681,100000.0,100000.0,0.0
DXYm,US Dollar Index,USD,USD,0.01,200.0,0.01,0,3,0.001,1.0,1000.0,0.0,0.0
EAm,Electronic Arts Inc.,USD,USD,0.01,10.0,0.01,0,2,0.01,1.0,100.0,0.0,0.0
EBAYm,eBay Inc.,USD,USD,0.01,10.0,0.01,0,2,0.01,1.0,100.0,0.0,0.0
EDUm,New Oriental Education & Technology Group Inc.,USD,USD,0.01,10.0,0.01,0,2,0.01,1.0,100.0,0.0,0.0
EQIXm,"Equinix, Inc.",USD,USD,0.01,10.0,0.01,0,2,0.01,1.0,100.0,0.0,0.0
ETHUSDm,Ethereum vs US Dollar,ETH,USD,0.1,200.0,0.01,0,2,0.01,0.01,1.0,1.0,0.0
EURAUDm,Euro vs Australian Dollar,EUR,AUD,0.01,200.0,0.01,0,5,1e-05,0.65121,100000.0,0.0,0.0
EURCADm,Euro vs Canadian Dollar,EUR,CAD,0.01,200.0,0.01,0,5,1e-05,0.7268921001366558,100000.0,0.0,0.0
EURCHFm,Euro vs Swiss Franc,EUR,CHF,0.01,200.0,0.01,0,5,1e-05,1.238098775520311,100000.0,0.0,0.0
EURDKKm,Euro vs Danish Krona,EUR,DKK,0.01,200.0,0.01,0,5,1e-05,0.15584820384945067,100000.0,100000.0,0.0
EURGBPm,Euro vs Great Britain Pound,EUR,GBP,0.01,200.0,0.01,0,5,1e-05,1.3421699999999999,100000.0,0.0,0.0
